12:35:39:1679398539+01:00,128722,719
12:35:39:1679398539+01:00,128722,831
12:35:40:1679398540+01:00,128722,831
12:35:40:1679398540+01:00,128722,832
12:35:41:1679398541+01:00,128722,833
12:35:41:1679398541+01:00,128722,834
12:35:42:1679398542+01:00,128722,835
12:35:42:1679398542+01:00,128722,836
12:35:43:1679398543+01:00,128722,837
12:35:44:1679398544+01:00,128722,845
12:35:44:1679398544+01:00,128722,1464
12:35:45:1679398545+01:00,128722,2087
12:35:45:1679398545+01:00,128722,2718
12:35:46:1679398546+01:00,128722,3348
12:35:46:1679398546+01:00,128722,3977
12:35:47:1679398547+01:00,128722,4603
12:35:47:1679398547+01:00,128722,5225
12:35:48:1679398548+01:00,128722,5849
12:35:48:1679398548+01:00,128722,6477
12:35:49:1679398549+01:00,128722,7111
12:35:49:1679398549+01:00,128722,7738
12:35:50:1679398550+01:00,128722,8366
12:35:50:1679398550+01:00,128722,8986
12:35:51:1679398551+01:00,128722,9611
12:35:51:1679398551+01:00,128722,10236
12:35:52:1679398552+01:00,128722,10861
12:35:52:1679398552+01:00,128722,11488
12:35:53:1679398553+01:00,128722,12112
12:35:53:1679398553+01:00,128722,12737
12:35:54:1679398554+01:00,128722,13364
12:35:54:1679398554+01:00,128722,13999
12:35:55:1679398555+01:00,128722,14630
12:35:55:1679398555+01:00,128722,15261
12:35:56:1679398556+01:00,128722,15886
12:35:56:1679398556+01:00,128722,16515
12:35:57:1679398557+01:00,128722,17145
12:35:57:1679398557+01:00,128722,17774
12:35:58:1679398558+01:00,128722,18405
12:35:58:1679398558+01:00,128722,19032
12:35:59:1679398559+01:00,128722,19661
12:35:59:1679398559+01:00,128722,20292
12:36:00:1679398560+01:00,128722,20930
12:36:00:1679398560+01:00,128722,21563
12:36:01:1679398561+01:00,128722,22194
12:36:01:1679398561+01:00,128722,22820
12:36:02:1679398562+01:00,128722,23449
12:36:02:1679398562+01:00,128722,24080
12:36:03:1679398563+01:00,128722,24708
12:36:03:1679398563+01:00,128722,25339
12:36:04:1679398564+01:00,128722,25967
12:36:04:1679398564+01:00,128722,26595
12:36:05:1679398565+01:00,128722,27227
12:36:05:1679398565+01:00,128722,27865
12:36:06:1679398566+01:00,128722,28497
12:36:06:1679398566+01:00,128722,29130
12:36:07:1679398567+01:00,128722,29755
12:36:07:1679398567+01:00,128722,30384
12:36:08:1679398568+01:00,128722,31014
12:36:08:1679398568+01:00,128722,31643
12:36:09:1679398569+01:00,128722,32274
12:36:09:1679398569+01:00,128722,32901
12:36:10:1679398570+01:00,128722,33529
12:36:10:1679398570+01:00,128722,34160
12:36:11:1679398571+01:00,128722,34798
12:36:11:1679398571+01:00,128722,35431
12:36:12:1679398572+01:00,128722,36063
12:36:12:1679398572+01:00,128722,36689
12:36:13:1679398573+01:00,128722,37315
12:36:13:1679398573+01:00,128722,37943
12:36:14:1679398574+01:00,128722,38568
12:36:14:1679398574+01:00,128722,39197
12:36:15:1679398575+01:00,128722,39821
12:36:15:1679398575+01:00,128722,40448
12:36:16:1679398576+01:00,128722,41076
12:36:16:1679398576+01:00,128722,41711
12:36:17:1679398577+01:00,128722,42342
12:36:17:1679398577+01:00,128722,42972
12:36:18:1679398578+01:00,128722,43595
12:36:18:1679398578+01:00,128722,44221
12:36:19:1679398579+01:00,128722,44848
12:36:19:1679398579+01:00,128722,45475
12:36:20:1679398580+01:00,128722,46103
12:36:20:1679398580+01:00,128722,46729
12:36:21:1679398581+01:00,128722,47355
12:36:22:1679398582+01:00,128722,47984
12:36:22:1679398582+01:00,128722,48619
12:36:23:1679398583+01:00,128722,49250
12:36:23:1679398583+01:00,128722,49881
12:36:24:1679398584+01:00,128722,50504
12:36:24:1679398584+01:00,128722,51129
12:36:25:1679398585+01:00,128722,51758
12:36:25:1679398585+01:00,128722,52384
12:36:26:1679398586+01:00,128722,53012
12:36:26:1679398586+01:00,128722,53639
12:36:27:1679398587+01:00,128722,54265
12:36:27:1679398587+01:00,128722,54892
12:36:28:1679398588+01:00,128722,55528
12:36:28:1679398588+01:00,128722,56160
12:36:29:1679398589+01:00,128722,56791
12:36:29:1679398589+01:00,128722,57414
12:36:30:1679398590+01:00,128722,58038
12:36:30:1679398590+01:00,128722,58666
12:36:31:1679398591+01:00,128722,59292
12:36:31:1679398591+01:00,128722,59920
12:36:32:1679398592+01:00,128722,60546
12:36:32:1679398592+01:00,128722,61172
12:36:33:1679398593+01:00,128722,61799
12:36:33:1679398593+01:00,128722,62434
12:36:34:1679398594+01:00,128722,63066
12:36:34:1679398594+01:00,128722,63698
12:36:35:1679398595+01:00,128722,64322
12:36:35:1679398595+01:00,128722,64945
12:36:36:1679398596+01:00,128722,65574
12:36:36:1679398596+01:00,128722,66200
12:36:37:1679398597+01:00,128722,66828
12:36:37:1679398597+01:00,128722,67454
12:36:38:1679398598+01:00,128722,68080
12:36:38:1679398598+01:00,128722,68707
12:36:39:1679398599+01:00,128722,69342
12:36:39:1679398599+01:00,128722,69974
12:36:40:1679398600+01:00,128722,70281
12:36:40:1679398600+01:00,128722,70284
12:36:41:1679398601+01:00,128722,70287
12:36:41:1679398601+01:00,128722,70288
12:36:42:1679398602+01:00,128722,70289
12:36:42:1679398602+01:00,128722,70290
12:36:43:1679398603+01:00,128722,70290
12:36:43:1679398603+01:00,128722,70290
12:36:44:1679398604+01:00,128722,70291
12:36:44:1679398604+01:00,128722,70291
12:36:45:1679398605+01:00,128722,70291
12:36:45:1679398605+01:00,128722,70291
12:36:46:1679398606+01:00,128722,70292
12:36:46:1679398606+01:00,128722,70292
12:36:47:1679398607+01:00,128722,70292
12:36:47:1679398607+01:00,128722,70293
12:36:48:1679398608+01:00,128722,70293
12:36:48:1679398608+01:00,128722,70294
12:36:49:1679398609+01:00,128722,70294
12:36:49:1679398609+01:00,128722,70294
12:36:50:1679398610+01:00,128722,70295
12:36:50:1679398610+01:00,128722,70295
12:36:51:1679398611+01:00,128722,70295
12:36:51:1679398611+01:00,128722,70295
12:36:52:1679398612+01:00,128722,70295
12:36:52:1679398612+01:00,128722,70295
12:36:53:1679398613+01:00,128722,70295
12:36:53:1679398613+01:00,128722,70295
12:36:54:1679398614+01:00,128722,70296
12:36:54:1679398614+01:00,128722,70296
12:36:55:1679398615+01:00,128722,70297
12:36:55:1679398615+01:00,128722,70297
12:36:56:1679398616+01:00,128722,70297
12:36:56:1679398616+01:00,128722,70297
12:36:57:1679398617+01:00,128722,70297
12:36:57:1679398617+01:00,128722,70297
12:36:58:1679398618+01:00,128722,70297
12:36:58:1679398618+01:00,128722,70297
12:36:59:1679398619+01:00,128722,70298
12:37:00:1679398620+01:00,128722,70298
12:37:00:1679398620+01:00,128722,70298
12:37:01:1679398621+01:00,128722,70298
12:37:01:1679398621+01:00,128722,70298
12:37:02:1679398622+01:00,128722,70298
12:37:02:1679398622+01:00,128722,70298
12:37:03:1679398623+01:00,128722,70298
12:37:03:1679398623+01:00,128722,70298
12:37:04:1679398624+01:00,128722,65260
12:37:04:1679398624+01:00,128722,43746
12:37:05:1679398625+01:00,128722,22247
12:37:05:1679398625+01:00,128722,764
